,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
58,0.493,0.969,2.0,-3.282,0.0,0.0463,0.201,0.655,0.247,0.34,170.581
59,0.536,0.458,2.0,-9.906,0.0,0.0385,0.893,0.495,0.106,0.259,170.113
60,0.638,0.49,4.0,-9.382,0.0,0.426,0.271,0.0,0.664,0.511,173.552
61,0.68,0.413,8.0,-9.41,1.0,0.492,0.177,0.0,0.205,0.383,158.576
62,0.609,0.435,11.0,-7.861,0.0,0.285,0.522,0.0,0.118,0.552,131.995
63,0.698,0.649,8.0,-6.764,1.0,0.415,0.15,0.0,0.0903,0.568,180.466
64,0.338,0.34,9.0,-12.049,0.0,0.0339,0.58,0.0032,0.116,0.197,82.433
65,0.54,0.423,6.0,-8.799,1.0,0.0283,0.294,0.0884,0.152,0.353,150.135
66,0.444,0.793,5.0,-5.326,0.0,0.0377,0.0107,0.000769,0.184,0.208,101.012
67,0.633,0.858,11.0,-7.42,0.0,0.0473,0.208,0.0114,0.0655,0.725,102.559
68,0.566,0.673,9.0,-10.814,1.0,0.306,0.565,1.13e-06,0.0438,0.583,114.385
69,0.63,0.616,1.0,-8.128,0.0,0.0309,0.463,0.0408,0.173,0.509,118.65
70,0.249,0.834,0.0,-8.21,1.0,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223
71,0.421,0.677,4.0,-6.183,1.0,0.0343,0.000989,9.65e-05,0.211,0.683,127.67
72,0.436,0.657,5.0,-8.868,1.0,0.0541,0.00975,0.00748,0.0931,0.21,118.693
73,0.473,0.898,6.0,-4.797,0.0,0.0561,0.00783,0.0618,0.173,0.808,96.556
74,0.482,0.786,7.0,-5.735,1.0,0.032,0.00321,8.88e-05,0.446,0.793,126.755
75,0.414,0.404,0.0,-9.928,0.0,0.0499,0.271,0.0,0.3,0.224,71.105
76,0.597,0.605,7.0,-12.013,1.0,0.0255,0.181,0.000331,0.118,0.886,97.782
77,0.377,0.682,7.0,-8.039,1.0,0.0299,0.000894,0.00217,0.0504,0.288,108.736
78,0.48,0.536,2.0,-11.166,1.0,0.0427,0.488,4.22e-05,0.155,0.581,80.617
79,0.363,0.554,2.0,-10.784,0.0,0.0317,0.0885,0.973,0.261,0.408,72.429
80,0.454,0.91,6.0,-7.766,1.0,0.0448,0.0866,0.0996,0.116,0.629,125.116
81,0.64,0.663,0.0,-7.516,1.0,0.0374,0.201,0.00806,0.152,0.663,132.77
82,0.482,0.601,7.0,-12.846,1.0,0.0486,0.00853,0.000187,0.249,0.774,125.619
83,0.536,0.901,9.0,-7.211,1.0,0.0374,0.00145,0.0186,0.06,0.666,87.559
84,0.528,0.921,2.0,-7.64,1.0,0.0524,0.0174,0.000186,0.0472,0.298,144.368
85,0.51,0.919,7.0,-8.244,1.0,0.0593,0.00205,0.809,0.068,0.386,141.053
86,0.581,0.854,1.0,-8.485,0.0,0.0428,0.00197,0.0013,0.111,0.788,131.18
87,0.293,0.787,5.0,-8.841,1.0,0.0438,0.00774,0.496,0.392,0.139,165.307
88,0.528,0.557,2.0,-10.342,0.0,0.0315,0.245,0.0156,0.0958,0.357,121.732
89,0.603,0.851,0.0,-8.574,0.0,0.0584,0.0251,1.71e-05,0.318,0.627,143.218
90,0.622,0.537,0.0,-4.435,1.0,0.0335,0.261,0.0,0.0781,0.25,60.018
91,0.818,0.6,7.0,-2.975,0.0,0.04,0.285,0.0,0.0845,0.874,96.959
92,0.761,0.796,9.0,-4.277,1.0,0.298,0.309,0.0,0.136,0.892,102.245
93,0.739,0.706,9.0,-6.534,1.0,0.152,0.219,0.0,0.132,0.558,144.112
94,0.539,0.846,8.0,-3.192,1.0,0.0354,0.0063,1.68e-06,0.13,0.46,106.992
95,0.729,0.898,5.0,-1.029,1.0,0.0391,0.315,0.0,0.107,0.517,126.977
96,0.609,0.246,8.0,-8.449,1.0,0.0376,0.784,0.0,0.0825,0.371,123.773
97,0.763,0.658,5.0,-5.643,0.0,0.147,0.0258,0.0,0.0915,0.389,80.038
98,0.604,0.875,7.0,-1.995,0.0,0.0539,0.244,0.0,0.114,0.219,129.925
99,0.756,0.426,1.0,-8.75,0.0,0.0745,0.504,0.0394,0.0884,0.355,135.96
100,0.628,0.284,4.0,-11.629,1.0,0.102,0.544,5.01e-06,0.121,0.354,91.131
101,0.758,0.402,9.0,-5.066,1.0,0.0459,0.411,0.0,0.217,0.519,92.109
102,0.756,0.922,1.0,-2.683,1.0,0.0539,0.0615,0.000462,0.0723,0.809,100.005
103,0.694,0.748,10.0,-2.93,0.0,0.167,0.0222,0.0,0.155,0.521,92.918
104,0.538,0.436,3.0,-8.73,0.0,0.0504,0.726,0.0,0.151,0.37,87.111
105,0.738,0.676,11.0,-3.025,0.0,0.0507,0.446,0.0,0.253,0.961,95.04
106,0.715,0.831,2.0,-6.161,1.0,0.0729,0.223,3.84e-06,0.132,0.805,100.006
107,0.536,0.707,10.0,-7.086,0.0,0.1,0.158,0.0,0.211,0.684,77.074
108,0.662,0.716,4.0,-4.942,1.0,0.118,0.12,0.0,0.396,0.727,102.1
109,0.817,0.747,1.0,-3.047,1.0,0.0625,0.043,0.0,0.0601,0.618,103.026
110,0.497,0.431,5.0,-4.755,0.0,0.0287,0.66,0.0,0.153,0.166,133.682
111,0.756,0.675,2.0,-6.619,1.0,0.0375,0.0446,0.0,0.56,0.401,124.975
112,0.699,0.87,10.0,-5.216,1.0,0.232,0.0856,0.0,0.0507,0.729,96.945
113,0.504,0.712,9.0,-4.705,1.0,0.379,0.175,0.0,0.377,0.307,189.577
114,0.827,0.722,6.0,-4.804,0.0,0.0945,0.00579,0.0,0.0935,0.589,102.972
115,0.785,0.246,2.0,-9.671,0.0,0.0549,0.763,0.0,0.102,0.615,94.106
116,0.581,0.918,4.0,-3.052,0.0,0.083,0.0729,0.0,0.0623,0.504,146.839
117,0.609,0.809,4.0,-9.869,0.0,0.0491,0.0314,0.0,0.0504,0.715,146.768
118,0.596,0.882,1.0,-2.258,1.0,0.0697,0.621,0.0,0.0682,0.4,130.027
119,0.737,0.818,8.0,-2.892,1.0,0.0492,0.0936,0.0,0.0577,0.893,116.93
120,0.651,0.749,5.0,-3.707,0.0,0.0412,0.188,0.0,0.0723,0.93,150.019
121,0.769,0.837,2.0,-3.499,1.0,0.0631,0.359,0.0,0.238,0.584,120.005
122,0.738,0.909,4.0,-2.657,0.0,0.0321,0.0967,0.0,0.0765,0.769,106.031
123,0.718,0.476,4.0,-9.205,1.0,0.139,0.422,0.0,0.0876,0.448,48.973
124,0.547,0.642,9.0,-4.411,1.0,0.0348,0.505,9.88e-06,0.18,0.404,78.907
125,0.531,0.478,8.0,-6.853,0.0,0.0528,0.753,0.0,0.103,0.408,143.81
126,0.737,0.731,10.0,-3.193,0.0,0.0706,0.241,0.0,0.087,0.761,94.999
127,0.621,0.673,1.0,-3.194,0.0,0.0606,0.467,0.0,0.323,0.289,143.889
128,0.72,0.746,0.0,-3.143,0.0,0.107,0.152,0.0,0.276,0.587,90.026
129,0.426,0.686,6.0,-4.425,0.0,0.0304,0.373,1.87e-06,0.115,0.488,80.324
130,0.786,0.853,8.0,-2.687,1.0,0.0816,0.0688,0.0,0.0759,0.45,125.034
131,0.389,0.467,4.0,-5.126,1.0,0.0347,0.787,1.39e-05,0.129,0.25,77.943
132,0.69,0.6,8.0,-4.336,0.0,0.137,0.656,0.0,0.631,0.236,131.821
133,0.632,0.519,0.0,-5.735,1.0,0.0384,0.727,0.0,0.265,0.256,143.837
134,0.728,0.669,0.0,-4.73,1.0,0.0346,0.122,0.0,0.129,0.707,133.961
135,0.853,0.638,1.0,-4.911,1.0,0.0536,0.379,0.0,0.27,0.872,102.06
136,0.629,0.421,1.0,-6.746,1.0,0.0364,0.542,3.56e-06,0.117,0.353,87.939
137,0.716,0.906,2.0,-3.539,1.0,0.0717,0.00423,0.0,0.0547,0.762,101.028
138,0.636,0.702,0.0,-5.352,0.0,0.0334,0.0223,0.0,0.293,0.516,135.104
139,0.843,0.807,1.0,-3.794,0.0,0.0632,0.0135,6.44e-05,0.227,0.833,104.962
140,0.851,0.842,4.0,-3.17,0.0,0.214,0.00474,0.000768,0.314,0.728,102.566
141,0.767,0.755,11.0,-3.938,0.0,0.03,0.303,3.62e-05,0.105,0.631,120.978
142,0.749,0.85,0.0,-4.346,1.0,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983
143,0.814,0.683,8.0,-2.596,0.0,0.195,0.0943,0.0,0.0678,0.757,140.051
144,0.726,0.772,10.0,-4.373,0.0,0.113,0.451,0.0,0.195,0.778,80.017
145,0.631,0.728,6.0,-5.111,1.0,0.284,0.0511,0.0,0.171,0.395,139.977
146,0.593,0.431,9.0,-7.846,0.0,0.415,0.327,0.0,0.21,0.641,169.781
147,0.526,0.828,6.0,-3.82,1.0,0.143,0.00773,0.0,0.296,0.663,110.182
148,0.72,0.918,1.0,-2.602,0.0,0.0991,0.0497,1.68e-06,0.144,0.551,139.998
149,0.533,0.823,6.0,-4.109,1.0,0.252,0.0516,0.0,0.473,0.706,89.711
150,0.476,0.581,8.0,-8.795,1.0,0.12,0.523,0.0,0.201,0.282,129.568
151,0.598,0.775,1.0,-4.035,0.0,0.0545,0.022,0.0,0.0677,0.687,129.819
152,0.612,0.844,5.0,-4.694,0.0,0.0756,0.142,0.0,0.287,0.653,134.868
153,0.667,0.889,6.0,-4.851,1.0,0.0918,0.00912,0.0,0.0816,0.541,169.959
154,0.438,0.178,7.0,-20.392,0.0,0.0445,0.908,0.752,0.0688,0.166,114.515
155,0.32,0.0681,3.0,-29.917,1.0,0.0383,0.988,0.915,0.0893,0.329,88.845
156,0.192,0.952,2.0,-5.888,1.0,0.258,0.00164,0.716,0.307,0.262,172.752
157,0.296,0.913,2.0,-6.144,1.0,0.068,0.0226,0.255,0.0583,0.183,171.314
158,0.625,0.285,1.0,-16.686,0.0,0.0537,0.438,0.00279,0.192,0.357,140.02
159,0.433,0.186,8.0,-16.241,0.0,0.0371,0.956,0.00425,0.117,0.42,127.016
160,0.496,0.84,2.0,-5.718,1.0,0.205,0.353,0.0,0.319,0.415,140.39
161,0.311,0.105,4.0,-19.444,0.0,0.0336,0.905,0.000251,0.164,0.0385,129.491
162,0.361,0.392,11.0,-11.679,1.0,0.0312,0.774,0.145,0.107,0.238,130.662
163,0.682,0.9,9.0,-5.028,1.0,0.0873,0.0891,0.063,0.0685,0.937,100.721
164,0.593,0.154,4.0,-12.668,1.0,0.0471,0.979,2.48e-05,0.116,0.115,118.151
165,0.702,0.361,6.0,-9.078,1.0,0.0303,0.00344,0.838,0.29,0.367,106.137
166,0.748,0.625,6.0,-11.09,1.0,0.0306,0.135,0.887,0.105,0.814,125.563
167,0.516,0.626,10.0,-7.594,1.0,0.0326,0.00471,0.639,0.318,0.456,123.055
168,0.683,0.592,4.0,-11.749,1.0,0.0786,0.0024,0.00436,0.318,0.689,124.973
169,0.609,0.536,1.0,-9.091,1.0,0.0317,1.84e-05,0.876,0.384,0.561,123.699
170,0.653,0.657,1.0,-7.096,1.0,0.232,0.728,0.000264,0.276,0.223,79.968
171,0.498,0.657,5.0,-6.66,1.0,0.043,0.00434,0.000384,0.11,0.796,176.039
172,0.558,0.855,2.0,-5.243,1.0,0.0343,0.00342,0.934,0.175,0.574,130.01
173,0.337,0.701,9.0,-6.974,1.0,0.0306,0.00112,0.0,0.201,0.434,143.066
174,0.269,0.941,2.0,-4.604,1.0,0.0578,0.000173,1.13e-06,0.161,0.664,88.85
175,0.38,0.923,7.0,-4.04,1.0,0.067,0.00093,6.98e-05,0.256,0.516,143.057
176,0.265,0.947,2.0,-6.674,1.0,0.103,1.79e-05,0.000323,0.208,0.226,170.175
177,0.598,0.93,9.0,-4.014,0.0,0.0466,0.00176,0.0,0.0353,0.97,175.795
178,0.613,0.639,1.0,-9.681,0.0,0.0288,0.0184,0.431,0.0948,0.244,117.97
179,0.326,0.84,2.0,-4.319,1.0,0.0592,0.000505,0.0,0.292,0.445,120.361
180,0.537,0.712,5.0,-5.597,1.0,0.0286,0.289,0.00568,0.08,0.704,159.871
181,0.472,0.875,4.0,-5.024,0.0,0.0446,0.00345,0.00576,0.128,0.461,136.064
182,0.637,0.704,7.0,-5.818,1.0,0.0658,0.22,0.0872,0.0849,0.645,162.959
183,0.326,0.886,9.0,-6.936,1.0,0.0395,0.000124,0.000147,0.221,0.583,157.057
184,0.738,0.74,0.0,-6.71,1.0,0.0303,0.00115,0.0135,0.0968,0.536,130.006
185,0.65,0.807,10.0,-4.157,0.0,0.0698,0.0197,0.00611,0.094,0.77,88.475
186,0.705,0.474,10.0,-13.081,1.0,0.0391,0.443,0.0553,0.338,0.756,98.612
187,0.513,0.874,1.0,-5.828,1.0,0.0289,0.337,0.00343,0.126,0.586,98.003
188,0.703,0.387,0.0,-9.793,1.0,0.039,0.598,6.85e-05,0.103,0.298,120.044
189,0.657,0.467,10.0,-8.849,1.0,0.0437,0.316,0.00215,0.0891,0.21,135.143
190,0.414,0.473,11.0,-8.911,0.0,0.116,0.663,0.0523,0.128,0.409,100.0
191,0.534,0.36,11.0,-12.942,0.0,0.0778,0.296,0.00158,0.382,0.387,153.985
192,0.689,0.268,11.0,-15.722,1.0,0.505,0.923,1.69e-06,0.31,0.569,121.202
193,0.721,0.674,0.0,-7.074,0.0,0.376,0.697,0.0,0.114,0.423,129.916
194,0.812,0.573,10.0,-8.664,0.0,0.159,0.0138,0.0411,0.104,0.27,150.027
195,0.612,0.85,2.0,-5.011,1.0,0.0495,0.212,0.000497,0.317,0.525,80.034
196,0.801,0.679,4.0,-8.747,0.0,0.0527,0.17,8.85e-06,0.188,0.483,130.015
197,0.743,0.672,3.0,-9.135,1.0,0.214,0.234,1.62e-05,0.869,0.506,115.977
198,0.784,0.715,6.0,-5.675,1.0,0.0664,0.218,0.0,0.415,0.846,119.995
199,0.823,0.46,9.0,-8.114,0.0,0.114,0.527,1.96e-06,0.0548,0.522,119.935
200,0.509,0.331,4.0,-14.083,1.0,0.0267,0.272,0.136,0.114,0.0957,96.848
201,0.415,0.425,7.0,-11.232,1.0,0.025,0.497,0.908,0.105,0.248,89.839
202,0.35,0.1,4.0,-18.491,1.0,0.0328,0.989,0.545,0.11,0.135,108.74
203,0.537,0.344,9.0,-14.782,0.0,0.0322,0.849,0.957,0.118,0.242,176.16
204,0.766,0.825,10.0,-5.266,0.0,0.0706,0.0498,0.000137,0.104,0.583,98.007
205,0.15,0.671,7.0,-6.193,1.0,0.0856,0.00485,0.0693,0.287,0.188,137.046
206,0.436,0.611,6.0,-7.746,1.0,0.0337,0.237,0.024,0.0942,0.187,103.315
207,0.298,0.587,11.0,-6.898,0.0,0.0395,0.0123,0.0208,0.133,0.0734,131.468
208,0.541,0.744,1.0,-5.576,1.0,0.0344,0.0617,0.00122,0.0578,0.888,125.891
209,0.405,0.818,3.0,-7.479,0.0,0.0337,0.01,0.302,0.68,0.557,160.94
210,0.459,0.846,9.0,-10.714,1.0,0.0433,0.0177,0.129,0.0723,0.448,119.506
211,0.256,0.746,0.0,-7.767,1.0,0.0341,0.026,0.621,0.423,0.156,146.154
212,0.165,0.9,0.0,-3.92,1.0,0.0652,0.0155,0.00154,0.217,0.135,190.985
213,0.778,0.381,7.0,-8.802,1.0,0.0429,0.523,0.000236,0.0573,0.737,139.124
214,0.429,0.816,4.0,-7.756,0.0,0.0458,0.313,0.0255,0.114,0.436,140.595
215,0.281,0.244,7.0,-14.129,0.0,0.0295,0.778,0.132,0.109,0.0499,90.351
216,0.479,0.707,1.0,-4.968,1.0,0.0659,0.0471,0.0,0.0932,0.661,148.092
217,0.819,0.26,1.0,-15.696,0.0,0.0485,0.44,0.56,0.104,0.0588,127.989
218,0.656,0.223,9.0,-21.003,0.0,0.0449,0.641,8.04e-05,0.131,0.202,112.918
219,0.777,0.456,10.0,-14.109,1.0,0.0726,0.0956,0.152,0.487,0.343,115.045
220,0.606,0.592,6.0,-7.396,0.0,0.0751,0.259,0.000991,0.136,0.762,174.623
221,0.419,0.0134,7.0,-23.031,1.0,0.0453,0.985,0.404,0.149,0.225,136.583
222,0.359,0.804,4.0,-6.424,1.0,0.0494,0.0161,0.000876,0.0889,0.902,182.429
223,0.392,0.644,4.0,-5.229,1.0,0.0332,0.000791,0.392,0.106,0.151,120.569
224,0.562,0.813,1.0,-4.247,1.0,0.0892,0.0523,1.6e-06,0.192,0.209,134.696
225,0.715,0.665,4.0,-7.736,0.0,0.0502,0.0996,0.0,0.224,0.84,78.502
226,0.655,0.653,4.0,-7.488,1.0,0.0278,0.502,0.75,0.0781,0.732,114.995
227,0.747,0.572,1.0,-9.046,1.0,0.0271,0.101,0.273,0.333,0.575,119.706
228,0.693,0.533,2.0,-10.954,0.0,0.0402,0.107,0.0,0.0695,0.568,127.661
229,0.515,0.884,9.0,-7.297,1.0,0.043,0.0331,0.0904,0.312,0.703,173.012
230,0.494,0.247,9.0,-12.147,0.0,0.0285,0.612,0.0836,0.226,0.355,120.048
231,0.657,0.826,4.0,-12.339,1.0,0.0358,0.0254,0.00974,0.708,0.685,128.144
232,0.588,0.9,11.0,-11.651,0.0,0.049,0.0948,0.0404,0.127,0.748,142.094
233,0.415,0.83,1.0,-10.989,1.0,0.0683,0.0975,0.00364,0.245,0.765,164.485
234,0.656,0.787,1.0,-11.266,1.0,0.0686,0.0405,0.008,0.0634,0.801,179.444
235,0.492,0.792,2.0,-11.074,1.0,0.0517,0.00781,0.000114,0.118,0.931,147.584
236,0.529,0.353,7.0,-12.835,1.0,0.0292,0.788,0.853,0.116,0.0601,104.557
237,0.201,0.771,10.0,-6.914,1.0,0.0401,0.0087,0.847,0.112,0.0984,155.068
238,0.264,0.378,5.0,-14.059,1.0,0.128,0.948,0.00841,0.104,0.186,81.745
239,0.533,0.213,3.0,-13.437,0.0,0.0342,0.849,0.565,0.449,0.207,80.004
240,0.338,0.725,0.0,-5.478,1.0,0.04,0.0779,7.4e-06,0.0808,0.316,83.846
241,0.642,0.397,6.0,-16.842,1.0,0.0639,0.461,0.000834,0.106,0.798,84.064
242,0.305,0.965,0.0,-5.926,1.0,0.0809,0.00128,0.00124,0.317,0.644,90.81
243,0.183,0.938,7.0,-11.314,1.0,0.0681,6.27e-05,1.83e-06,0.326,0.184,160.257
244,0.239,0.82,0.0,-9.41,1.0,0.0487,0.00847,0.676,0.369,0.547,165.18
245,0.218,0.819,0.0,-9.783,1.0,0.0604,2.51e-05,0.604,0.362,0.414,147.555
246,0.386,0.964,7.0,-11.31,1.0,0.076,0.0589,0.948,0.362,0.0571,90.257
247,0.503,0.803,0.0,-9.701,1.0,0.0485,0.01,0.0648,0.292,0.941,179.007
248,0.345,0.576,11.0,-7.132,1.0,0.0351,0.237,0.679,0.112,0.422,160.38
249,0.507,0.666,10.0,-8.362,1.0,0.029,0.0116,0.343,0.129,0.185,77.979
250,0.572,0.659,4.0,-9.954,1.0,0.0304,0.519,0.431,0.0721,0.69,156.994
251,0.349,0.925,11.0,-5.008,0.0,0.0415,7.31e-05,1.63e-06,0.059,0.651,149.022
252,0.395,0.825,0.0,-8.671,1.0,0.0524,0.000378,0.609,0.301,0.811,115.779
253,0.514,0.733,7.0,-9.443,1.0,0.123,0.545,0.0,0.143,0.568,97.621
254,0.375,0.565,9.0,-12.811,0.0,0.0359,0.0489,0.0625,0.107,0.389,148.972
255,0.847,0.526,1.0,-13.846,1.0,0.182,0.01,0.0,0.0606,0.668,91.99
256,0.805,0.653,8.0,-11.251,0.0,0.185,0.138,0.0,0.1,0.257,100.349
257,0.89,0.716,1.0,-9.673,1.0,0.296,0.174,0.000589,0.0657,0.656,99.987
258,0.496,0.15,0.0,-17.07,1.0,0.0415,0.781,0.000101,0.23,0.376,118.59
259,0.515,0.642,11.0,-9.158,0.0,0.0367,0.129,0.176,0.0943,0.422,114.957
260,0.409,0.902,2.0,-4.639,1.0,0.0619,0.0717,2.65e-06,0.361,0.613,125.389
261,0.397,0.518,4.0,-7.156,1.0,0.0327,0.0748,0.00634,0.133,0.262,113.737
262,0.502,0.804,2.0,-7.505,1.0,0.0263,0.000165,0.403,0.0772,0.749,135.845
263,0.687,0.617,4.0,-5.213,1.0,0.0287,0.0941,1.32e-05,0.0898,0.665,121.08
264,0.548,0.755,4.0,-6.722,1.0,0.0304,0.00142,0.00573,0.141,0.441,126.999
265,0.706,0.483,1.0,-7.929,1.0,0.0393,0.547,1.94e-06,0.136,0.663,92.002
266,0.657,0.54,9.0,-9.875,1.0,0.0232,0.415,1.74e-06,0.0809,0.673,94.258
267,0.363,0.268,2.0,-9.632,0.0,0.0301,0.85,0.0,0.216,0.45,68.885
268,0.342,0.986,11.0,-5.657,0.0,0.0903,7.65e-05,0.00594,0.3,0.436,153.208
269,0.331,0.921,2.0,-10.637,1.0,0.045,1.16e-05,0.015,0.45,0.29,98.369
270,0.379,0.897,10.0,-11.437,0.0,0.0717,3e-05,0.116,0.255,0.595,89.021
271,0.208,0.95,9.0,-9.723,1.0,0.106,1.93e-05,0.364,0.093,0.152,91.485
272,0.469,0.648,0.0,-6.921,1.0,0.0477,0.203,0.82,0.314,0.248,142.267
273,0.386,0.477,10.0,-16.604,1.0,0.0409,0.924,0.921,0.0882,0.338,143.877
274,0.511,0.688,10.0,-7.268,1.0,0.033,0.194,0.139,0.111,0.046,120.28
275,0.77,0.501,0.0,-7.412,1.0,0.0294,0.468,0.879,0.144,0.443,127.032
276,0.382,0.138,3.0,-12.509,1.0,0.0318,0.944,0.00013,0.101,0.102,104.649
277,0.471,0.419,6.0,-8.524,1.0,0.0326,0.462,0.632,0.115,0.127,125.899
278,0.66,0.61,9.0,-10.964,1.0,0.148,0.212,0.00032,0.0571,0.62,97.753
279,0.675,0.287,4.0,-11.836,0.0,0.0335,0.782,0.0409,0.136,0.0946,95.304
280,0.277,0.67,6.0,-9.381,1.0,0.0376,6.28e-05,0.751,0.237,0.217,148.342
